카테고리,제목,저자,정가,할인가,이미지
[국내도서],만화로 보는 5분 한국사,"유요 (지은이), 미정 (그림), 신병주 (감수) | 빅피시 | 2026년 6월","18,800","16,920원","['https://image.aladin.co.kr/product/39446/25/SpineShelf/K532139495_d.jpg', 'https://image.aladin.co.kr/product/39446/25/cover200/k532139495_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],너무 성실한 시스템,이산 (지은이) | 이너피스커뮤니케이션즈 | 2026년 7월,"20,000","18,000원",['https://image.aladin.co.kr/product/39790/29/cover200/k842130304_1.jpg']
[국내도서],코스모스,"칼 세이건 (지은이), 홍승수 (옮긴이) | 사이언스북스 | 2006년 12월","22,000","19,800원","['https://image.aladin.co.kr/product/87/9/SpineShelf/S412032094_d.jpg', 'https://image.aladin.co.kr/product/87/9/cover200/s412032094_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],손자병법,"손무 (지은이), 소준섭 (옮긴이) | 현대지성 | 2025년 10월","13,000","11,700원","['https://image.aladin.co.kr/product/37298/6/SpineShelf/K292031545_d.jpg', 'https://image.aladin.co.kr/product/37298/6/cover200/k292031545_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],고양이 해결사 깜냥 9,"홍민정 (지은이), 김재희 (그림) | 창비 | 2026년 5월","14,000","12,600원","['https://image.aladin.co.kr/product/39375/36/SpineShelf/8936450530_d.jpg', 'https://image.aladin.co.kr/product/39375/36/cover200/8936450530_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],오디세이아·일리아스 세트 - 전2권,"질리언 크로스 (지은이), 호메로스 (원작), 닐 패커 (그림), 윤영 (옮긴이), 장은수 (해설) | 더숲 | 2026년 7월","50,000","45,000원",['https://image.aladin.co.kr/product/39838/13/cover200/k382130913_1.jpg']
[국내도서],100세까지 월 500만 원 받는 ETF 연금 수업,제도권주식분석(최기원) (지은이) | 와이즈베리 | 2026년 8월,"23,000","20,700원","['https://image.aladin.co.kr/product/39929/46/SpineShelf/399294636_d.jpg', 'https://image.aladin.co.kr/product/39929/46/cover200/399294636_1.jpg']"
[국내도서],오디세이,"19,800원 → 17,820원 (10%할인),  마일리지 990원",10.0,"17,820원","['https://image.aladin.co.kr/product/39932/41/SpineShelf/K922130125_d.jpg', 'https://image.aladin.co.kr/product/39932/41/cover200/k922130125_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],ETS 토익 단기 공략 750+ (LC + RC),ETS (지은이) | (주)YBM(와이비엠) | 2025년 7월,"19,500","17,550원","['https://image.aladin.co.kr/product/36682/90/SpineShelf/8917243789_d.jpg', 'https://image.aladin.co.kr/product/36682/90/cover200/8917243789_2.jpg']"
[국내도서],머도쿠,"마누엘 가란드 (지은이), 박나림 (옮긴이) | 중앙books(중앙북스) | 2026년 6월","23,000","20,700원","['https://image.aladin.co.kr/product/39548/67/SpineShelf/8927813642_d.jpg', 'https://image.aladin.co.kr/product/39548/67/cover200/8927813642_2.jpg']"
